component,event,elapsed_ms,bytes_in,bytes_out,ok
server,register,0.102,83,64,1
server,register,0.076,83,64,1
server,step1,0.099,394,323,1
server,step3,0.067,322,287,1
server,register,0.169,83,64,1
server,register,0.067,83,64,1
server,step1,0.092,394,323,1
server,step3,0.041,322,287,1
server,register,0.138,83,64,1
server,register,0.068,83,64,1
server,step1,0.096,394,323,1
server,step3,0.059,322,287,1
server,register,0.229,83,64,1
server,register,0.074,83,64,1
server,step1,0.096,394,323,1
server,step3,0.054,322,287,1
server,register,0.286,83,64,1
server,register,0.165,83,64,1
server,step1,0.077,394,323,1
server,step3,0.097,322,287,1
server,register,0.238,83,64,1
server,register,0.156,83,64,1
server,step1,0.135,394,323,1
server,step3,0.241,322,287,1
server,register,0.432,83,64,1
server,register,0.144,83,64,1
server,step1,0.106,394,323,1
server,step3,0.135,322,287,1
server,register,0.134,83,64,1
server,register,0.096,83,64,1
server,step1,0.059,394,323,1
server,step3,0.087,322,287,1
server,register,0.135,83,64,1
server,register,0.065,83,64,1
server,step1,0.068,394,323,1
server,step3,0.064,322,287,1
server,register,0.117,83,64,1
server,register,0.113,83,64,1
server,step1,0.089,394,323,1
server,step3,0.066,322,287,1
server,register,0.162,83,64,1
server,register,0.081,83,64,1
server,step1,0.104,394,323,1
server,step3,0.095,322,287,1
server,register,0.281,83,64,1
server,register,0.071,83,64,1
server,step1,0.086,394,323,1
server,step3,0.058,322,287,1
server,register,0.064,83,64,1
server,register,0.066,83,64,1
server,step1,0.058,394,323,1
server,step3,0.061,322,287,1
server,register,0.159,83,64,1
server,register,0.086,83,64,1
server,step1,0.071,394,323,1
server,step3,0.136,322,287,1
server,register,0.157,83,64,1
server,register,0.140,83,64,1
server,step1,0.134,394,323,1
server,step3,0.133,322,287,1
server,register,0.180,83,64,1
server,register,0.146,83,64,1
server,step1,0.129,394,323,1
server,step3,0.086,322,287,1
server,register,0.244,83,64,1
server,register,0.147,83,64,1
server,step1,0.113,394,323,1
server,step3,0.115,322,287,1
server,register,0.414,83,64,1
server,register,0.194,83,64,1
server,step1,0.265,394,323,1
server,step3,0.130,322,287,1
server,register,0.285,83,64,1
server,register,0.185,83,64,1
server,register,0.264,83,64,1
server,register,0.108,83,64,1
server,register,0.208,83,64,1
server,register,0.148,83,64,1
server,step1,0.146,394,323,1
server,step3,0.088,322,287,1
